ID,TL,TL_Desc,HS6,HS6_Desc,Sector_Code,Base_Rate,Base_Rate_Alt,Final_Year,TLs_Per_6_Digit,Staging_Basket,TRQ_Quota,TRQ_Note,Tariff_Eliminated,Product_Type,Pending_Data,Ag_ID,PartnerName,ReporterName,StagingBasket,StagingBasketId,Num_MAR_Columns,PartnerStartYear,ReporterStartYear,PartnerAgreementName,ReporterAgreementName,PartnerAgreementApproved,ReporterAgreementApproved,Rule_Text,Link_Text,Link_Url,QuotaName,ProductType,Y2004,Alt_2004,Y2005,Alt_2005,Y2006,Alt_2006,Y2007,Alt_2007,Y2008,Alt_2008,Y2009,Alt_2009,Y2010,Alt_2010,Y2011,Alt_2011,Y2012,Alt_2012,Y2013,Alt_2013,Y2014,Alt_2014,Y2015,Alt_2015,Y2016,Alt_2016,Y2017,Alt_2017,Y2018,Alt_2018,Y2019,Alt_2019,Y2020,Alt_2020,Y2021,Alt_2021,Y2022,Alt_2022,Y2023,Alt_2023,Y2024,Alt_2024,Y2025,Alt_2025,Y2026,Alt_2026,Y2027,Alt_2027,Y2028,Alt_2028,Y2029,Alt_2029,Y2030,Alt_2030,Y2031,Alt_2031,Y2032,Alt_2032,Y2033,Alt_2033,Y2034,Alt_2034,Y2035,Alt_2035,Y2036,Alt_2036,Y2037,Alt_2037,Y2038,Alt_2038,Y2039,Alt_2039,Y2040,Alt_2040,Y2041,Alt_2041
439026,1011000,Pure-bred breeding animals,10110,PUREBRED BREEDING ANIMAL                                                   ,15,0,,2005,1,6,,,TRUE,2,FALSE,1,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439054,1011000,Live purebred breeding horses and asses,10110,PUREBRED BREEDING ANIMAL                                                   ,15,0,,2005,1,6,,,TRUE,2,FALSE,29,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439078,1019000,Other,10190,"LIVE HORSES, ASSES, MULES AND HINNIES, NESOI                               ",15,0,,2005,1,6,,,TRUE,2,FALSE,53,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439157,1019010,Live horses other than purebred breeding horses,10190,"LIVE HORSES, ASSES, MULES AND HINNIES, NESOI                               ",15,0,,2005,4,6,,,TRUE,2,FALSE,96,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439158,1019020,Live asses other than purebred breeding asses,10190,"LIVE HORSES, ASSES, MULES AND HINNIES, NESOI                               ",15,6.8,,2008,4,25,,,TRUE,2,FALSE,97,Australia,United States,4 Years,25,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,5.1,,3.4,,1.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439159,1019030,Mules and hinnies imported for immediate slaughter,10190,"LIVE HORSES, ASSES, MULES AND HINNIES, NESOI                               ",15,0,,2005,4,6,,,TRUE,2,FALSE,98,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439160,1019040,Mules and hinnies not imported for immediate slaughter,10190,"LIVE HORSES, ASSES, MULES AND HINNIES, NESOI                               ",15,4.5,,2005,4,6,,,TRUE,2,FALSE,99,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439237,1021000,Live purebred bovine breeding animals,10210,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING                                    ",15,0,,2005,1,6,,,TRUE,2,FALSE,176,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439217,1021000,Pure-bred breeding animals,10210,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING                                    ",15,0,,2005,1,6,,,TRUE,2,FALSE,156,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439253,1029000,Other,10290,"BOVINE ANIMALS, LIVE, NESOI                                                ",15,0,,2005,1,6,,,TRUE,2,FALSE,192,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
